Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Age	Previous_Role	Role	Previous_Utterance	Utterance	Previous_Sent_len	Sent_len	Previous_Sent_type	Sent_type	Child	Polarity	Level
perception	existence	is		there		cake	cake	24	Mother	Target_Child	there is n't any cake there	no eat the cake	6	4	declarative	declarative	Manchester Aran	positive	discourse
perception	possession	my						24	Target_Child	Mother	it 's my	no it 's my cake	3	5	declarative	declarative	Manchester John	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	21	Mother	Target_Child	Carl 's going to have a blue t+shirt	no that pajamas	8	3	declarative	declarative	Manchester Carl	positive	discourse
perception	existence	's		there		egg	egg	23	Target_Child	Mother	there 's a egg	no what 's that Carl	4	5	declarative	question	Manchester Carl	positive	discourse
perception	existence	's		there		elephant	elephant	24	Target_Child	Mother	there 's the elephant	no it 's not an elephant	4	6	declarative	declarative	Manchester Carl	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	25	Mother	Target_Child	that 's that is that dinosaur having a drink	no have a drink	9	4	question	declarative	Manchester Carl	positive	discourse
perception	existence	's		there		leg	leg	25	Target_Child	Mother	there 's another leg	no I said lake not leg	4	6	declarative	declarative	Manchester Carl	positive	discourse
perception	possession	mine						25	Target_Child	Mother	that 's mine	no you haf ta go and get your paper	3	9	declarative	declarative	Manchester Carl	positive	discourse
perception	possession	mine						24	Target_Child	Mother	mine	no that 's Anna 's bag	1	6	declarative	declarative	Manchester Liz	positive	discourse
perception	possession	yours	not					24	Target_Child	Mother	not yours	no these are n't Anna 's are they	2	8	declarative	question	Manchester Liz	negative	discourse
perception	possession	mine						26	Target_Child	Mother	mine	no love it 's mine	1	5	declarative	declarative	Manchester Liz	positive	discourse
perception	possession	mine						27	Target_Child	Mother	mine	no if you ca n't use it properly Liz you 're not having it	1	14	declarative	declarative	Manchester Liz	positive	discourse
perception	existence	's		there		biscuit	biscuit	28	Target_Child	Mother	there 's a biscuit	no it 's not a biscuit	4	6	declarative	declarative	Manchester Liz	positive	discourse
perception	possession	have	n't	do	do	they	they	30	Mother	Target_Child	because they do n't have them any more	no we do n't	8	4	declarative	declarative	Manchester Liz	negative	discourse
perception	possession	have		can	can	you	you	35	Mother	Target_Child	so you can have it on your plate to eat it	no want it	11	3	declarative	declarative	Manchester Nicole	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	24	Mother	Target_Child	let 's have a look at it	no no page	7	3	declarative	declarative	Manchester Anne	positive	discourse
perception	possession	have		does	do	this	this	46	Target_Child	Mother	does this have monsters in it	no those are not monsters	6	5	question	declarative	HSLLD nan	positive	discourse
perception	possession	have	n't	do	do	he	he	43	Target_Child	Mother	he now he do n't have he 's not a butterfly no more	no he 's not a caterpillar anymore	13	7	question	declarative	HSLLD nan	negative	discourse
perception	possession	have		NONE	NONE	he	he	48	Mother	Target_Child	and he had spikes sticking out everywhere	no this a spike	7	4	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have	n't	do	do	he	he	50	Target_Child	Mother	look Ma he do n't have no feet	no he does n't in that does he he 's just moving like magic huh	8	15	declarative	question	HSLLD nan	negative	discourse
perception	possession	have		NONE	NONE	we	we	46	Target_Child	Mother	we had popcorn	no we did n't have popcorn	3	6	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	Oyou	Oyou	45	Mother	Target_Child	Oyou had fun huh	no I thought I was in a I thought Johnny was going to walk over me did	4	17	question	declarative	HSLLD nan	positive	discourse
perception	possession	have		'll	will	I	I	43	Target_Child	Mother	I 'll just have a little piece	no you do n't eat that much	7	7	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		can	can	I	I	46	Target_Child	Mother	now can I have ice cream	no you do n't get ice cream until a little after Charlie	6	12	question	imperative_emphatic	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	48	Mother	Target_Child	it 's nice to just have quiet around here for once	no it 's not	11	4	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	I	I	46	Target_Child	Mother	I think I I I had I I had a bowl of soup	no you did n't have a bowl of soup you had what	13	12	declarative	question	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	you	you	43	Target_Child	Mother	you haf ta	no my school 's closed today too	3	7	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	yours						46	Target_Child	Mother	and yours	no my birthday 's already gone	2	6	imperative_emphatic	declarative	HSLLD nan	positive	discourse
perception	possession	my						47	Target_Child	Father	that was in my in my milk	no there 's nothing in your milk	7	7	imperative_emphatic	declarative	HSLLD nan	positive	discourse
perception	possession	have	n't	does	do	city	city	48	Father	Target_Child	what happened was the city does n't have as much money	no tell me the rest	11	5	declarative	declarative	HSLLD nan	negative	discourse
perception	possession	have		can	can	I	I	45	Target_Child	Mother	can I have something to drink please can I have something to drink	no Sara you cannot because you have n't eaten anything yet	13	11	question	declarative	HSLLD nan	positive	discourse
perception	possession	mine						51	Target_Child	Mother	it 's mine and Sis 's it 's mine	no this is mommy 's	9	5	question	declarative	HSLLD nan	positive	discourse
perception	possession	yours						51	Target_Child	Mother	it 's yours and mine and Sis 's	no it 's mommy 's	8	5	question	declarative	HSLLD nan	positive	discourse
perception	possession	have	n't	do	do	I	I	48	Target_Child	Mother	I do n't have any chair	no I prefer you to come back over here please	6	10	declarative	declarative	HSLLD nan	negative	discourse
perception	possession	have		NONE	NONE	I	I	50	Target_Child	Mother	I have a bad cold	no you I think you 're choking on your food a little bit I think you have little	5	18	declarative	declarative	HSLLD nan	positive	discourse
perception	existence	are		there		lot	lot	50	Mother	Target_Child	there are n't a real lot of wild animals here	no but if we see a whole bunch um I would waked up	10	13	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		could	could	I	I	45	Target_Child	Mother	I could have dessert too	no you gotta eat meat and stuff to have dessert	5	10	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	mine						45	Target_Child	Mother	these are mine	no they 're not	3	4	question	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	44	Target_Child	Mother	wan na have a cook+out	no we 're gon ta have one by ourselves okay	5	10	question	question	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	44	Mother	Target_Child	have yours	no that 's yours	2	4	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	yours						44	Mother	Target_Child	this one is yours I poured it over here	no I wan na pour it way high	9	8	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		can	can	you	you	45	Mother	Target_Child	but she 's pretend so you can have a pretend burp	no you do it	11	4	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	ours						46	Target_Child	Mother	ours	no they 're not our toys	1	6	imperative_emphatic	declarative	HSLLD nan	positive	discourse
perception	existence	's		there		belts	belt	45	Mother	Target_Child	no no Bro let your brother toy all the all the people out the bus and you gotta to make sure you put them in there and when you put them in there there 's seat belts like you do	no I do it	40	4	declarative	imperative_emphatic	HSLLD nan	positive	discourse
perception	possession	have		do	do	we	we	47	Mother	Target_Child	now do we have all the pieces	no these do n't belong	7	5	question	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	I	I	52	Target_Child	Mother	I have tubes	no you do n't have tubes	3	6	declarative	imperative_emphatic	HSLLD nan	positive	discourse
perception	existence	's		there		sugar	sugar	52	Mother	Target_Child	now there 's sugar all over the floor	no there 's not because the top was still on it	8	11	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have	n't	do	do	I	I	51	Target_Child	Mother	I do n't have this one	no you do n't have this one	6	7	declarative	declarative	HSLLD nan	negative	discourse
perception	possession	have		'll	will	we	we	47	Mother	Target_Child	wan na set the table and we 'll have supper	no let us play some more	10	6	declarative	declarative	HSLLD nan	positive	discourse
perception	existence	's		there		lot	lot	47	Target_Child	Mother	there 's a lot in this	no fix it	6	3	declarative	declarative	HSLLD nan	positive	discourse
perception	existence	is		there		fire	fire	53	Target_Child	Mother	is there fire in here	no that 's make+believe fire	5	5	question	declarative	HSLLD nan	positive	discourse
perception	existence	's		there		bees	bee	57	Target_Child	Mother	because there 's bees	no th that 's a cocoon	4	6	imperative_emphatic	imperative_emphatic	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	we	we	53	Target_Child	Mother	we had a stomach ache	no we did n't have a stomach ache	5	8	declarative	declarative	HSLLD nan	positive	discourse
perception	existence	's		there		mustard	mustard	51	Mother	Target_Child	I did n't put relish on it there 's only mustard and catsup like you wanted	no I saw white stuff on that	16	7	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	they	they	56	Target_Child	Father	they have toy toys	no this is the movie he man with not it 's not cartoons and it 's not toys it 's actors	4	21	question	declarative	HSLLD nan	positive	discourse
perception	possession	have	n't	ca	can	you	you	65	Mother	Target_Child	well you ca n't have your you ca n't ride your bike alone in the street	no you you you can go with me	16	8	declarative	declarative	HSLLD nan	negative	discourse
perception	possession	have		can	can	I	I	58	Target_Child	Mother	because I can have a drown	no you wo n't drown	6	5	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		can	can	I	I	59	Target_Child	Mother	when you 're done can I have two Yodels	no you still have some potatoes and meat and a couple vegetables to finish please	9	15	question	declarative	HSLLD nan	positive	discourse
perception	possession	have		may	may	I	I	59	Target_Child	Mother	may I have some more	no but you can finish the corn and lamb chop	5	10	question	declarative	HSLLD nan	positive	discourse
perception	possession	have	n't	did	do	you	you	68	Mother	Target_Child	oh you did n't have pen time today	no the teacher had lay down	8	6	question	declarative	HSLLD nan	negative	discourse
perception	possession	have		NONE	NONE	we	we	68	Target_Child	Mother	we have party hats too	no not for valentine 's day valentine 's	5	8	declarative	interruption	HSLLD nan	positive	discourse
perception	possession	have		can	can	we	we	59	Mother	Target_Child	set it up so we can all have one	no will you have this one	9	6	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		should	should	I	I	51	Mother	Target_Child	so I should just have water	no that 's your coffee	6	5	question	imperative_emphatic	HSLLD nan	positive	discourse
perception	existence	's	no	there		spots	spot	54	Target_Child	Mother	but there 's no spots on here	no but there there is a dog the same color as a Dalmation	7	13	declarative	declarative	HSLLD nan	negative	discourse
perception	possession	have		NONE	NONE	NONE	NONE	61	Mother	Target_Child	come on let 's have a picnic	no I wan na play with the blocks	7	8	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	you	you	54	Target_Child	Mother	no you have some coffee	no you have some	5	4	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	you	you	54	Mother	Target_Child	no you have some	no I have the cup	4	5	declarative	imperative_emphatic	HSLLD nan	positive	discourse
perception	possession	have		can	can	I	I	54	Mother	Target_Child	can I have it back please	no I 'm using it	6	5	question	declarative	HSLLD nan	positive	discourse
perception	possession	have	n't	does	do	this	this	68	Target_Child	Mother	the other kid this does n't have um his name because he 's he um Miss Shine is gon ta give him it tomorrow because the bus almost m left me so that 's why that 's why Miss Shine did n't put his name on it	no I do n't wan na hear that story	47	9	declarative	declarative	HSLLD nan	negative	discourse
perception	possession	have		are	be	you	you	64	Target_Child	Mother	are you having it	no I 'm playing it	4	5	question	declarative	HSLLD nan	positive	discourse
perception	possession	have		could	could	I	I	63	Target_Child	Mother	could I have some more chicken could I have the skin	no not that that 's a bone	11	7	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		could	could	I	I	63	Target_Child	Mother	Mom could I have more chicken	no you eat your potatoes first	6	6	question	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	you	you	71	Target_Child	Father	you have one or more	no I 'll just take half	5	6	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	roll	roll	68	Target_Child	Mother	yeah because because the roll the roll had lots of chunk	no I just gave you the roll	11	7	interruption	declarative	HSLLD nan	positive	discourse
perception	possession	have	n't	did	do	you	you	68	Mother	Target_Child	you did n't have any slippers or um costume or anything	no I got to uh	11	5	declarative	trail	HSLLD nan	negative	discourse
perception	possession	have		can	can	I	I	63	Target_Child	Mother	you said I can have a candy but I changed your mind	no you 've had enough stuff today	12	7	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	I	I	69	Target_Child	Mother	I I I I have three sisters a long long time ago when I was a baby	no you did n't have three sisters when you was a baby	17	12	imperative_emphatic	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	you	you	69	Mother	Target_Child	do you know you have a present for your teacher	no I do n't have a present	10	7	question	declarative	HSLLD nan	positive	discourse
perception	possession	have	n't	do	do	we	we	66	Target_Child	Mother	we do n't have that in gym	no not yet you 're too young for that	7	9	declarative	declarative	HSLLD nan	negative	discourse
perception	possession	have		do	do	you	you	67	Target_Child	Mother	do you have two cans of juice like this	no I only have one	9	5	question	declarative	HSLLD nan	positive	discourse
perception	possession	have		did	do	you	you	66	Target_Child	Mother	did you have um um trouble cutting it	no it just fell apart	8	5	question	declarative	HSLLD nan	positive	discourse
perception	possession	have		can	can	I	I	66	Target_Child	Mother	can I please have some more milk I 'll get it myself	no that 's alright I 'll get it	12	8	question	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	63	Target_Child	Mother	want me to have juice instead you want juice	no I like I like cocoa	9	6	question	declarative	HSLLD nan	positive	discourse
perception	possession	have		's	be	he	he	66	Mother	Target_Child	maybe this little giraffe will wan na go to the zoo because he 's having trouble standing up in the	no this one should go	20	5	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	yours						68	Target_Child	Mother	this one is yours	no that one 's for the dog	4	7	declarative	declarative	HSLLD nan	positive	discourse
perception	existence	's	no	there		number	number	64	Mother	Target_Child	there 's no real phone number	no tell him his tell me his phone number	6	9	declarative	declarative	HSLLD nan	negative	discourse
perception	existence	is	no	there		number	number	64	Mother	Target_Child	I there is no phone number	no tell me his phone number	6	6	declarative	declarative	HSLLD nan	negative	discourse
perception	possession	have		can	can	you	you	68	Mother	Target_Child	here you can have a sip of mine	no all of it	8	4	declarative	declarative	HSLLD nan	positive	discourse
perception	existence	is		there		momma	momma	69	Target_Child	Mother	um is there any zebras momma	no I do n't see a mama zebra	6	8	question	declarative	HSLLD nan	positive	discourse
perception	possession	have		will	will	Crystal	Crystal	67	Target_Child	Mother	bet you Crystal will have more	no I do n't think they do	6	7	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have	n't	does	do	he	he	69	Target_Child	Mother	well he does n't have a family either	no the elephant and the tiger	8	6	declarative	declarative	HSLLD nan	negative	discourse
perception	possession	have		NONE	NONE	I	I	69	Target_Child	Mother	Mom I call somebody and then I said that um I have company so would you call me back later	no why do n't you just call them back later when there 's something you need	20	16	declarative	declarative	HSLLD nan	positive	discourse
perception	possession	have		NONE	NONE	they	they	66	Mother	Target_Child	or you could pretend that dinosaurs are here now and and they have cars could crush the cars	no that 's	18	3	declarative	declarative	HSLLD nan	positive	discourse
perception	existence	's		there		beak	beak	51	Child	Mother	there 's is his beak	no I do n't think so Jake	5	7	declarative	declarative	HSLLD Connor	positive	discourse
perception	possession	have	n't	do	do	I	I	30	Target_Child	Mother	I do n't have	no but you 've got some on your face	4	9	declarative	declarative	Morisset Heather	negative	discourse
perception	possession	have		NONE	NONE	I	I	30	Target_Child	Mother	I have that	no you ca n't have that	3	6	declarative	declarative	Morisset Brandon	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	30	Target_Child	Mother	I want have it	no you haf ta wait	4	5	declarative	declarative	Morisset Anthony	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	30	Target_Child	Mother	let me have it	no no Baby	4	3	declarative	declarative	Morisset Cassie	positive	discourse
perception	possession	have		can	can	you	you	30	Mother	Target_Child	you can have it later	no I want it	5	4	declarative	imperative_emphatic	Morisset Sarah	positive	discourse
perception	possession	have		can	can	you	you	30	Mother	Target_Child	no you come over here and stand and you can have your cookie in a little bit okay	no I want it	18	4	question	declarative	Morisset Sarah	positive	discourse
perception	possession	she						30	Target_Child	Mother	that her 's	no that 's some juice for the baby	3	8	question	declarative	Morisset Travis	positive	discourse
perception	possession	have		NONE	NONE	I	I	30	Target_Child	Mother	I have it	no you ca n't have that	3	6	declarative	declarative	Morisset nan	positive	discourse
perception	possession	yours						30	Target_Child	Mother	that yours	no you can have some too	2	6	question	declarative	Morisset nan	positive	discourse
perception	possession	mine						30	Target_Child	Mother	that 's mine	no just wait	3	3	declarative	declarative	Morisset nan	positive	discourse
perception	possession	have		can	can	I	I	39	Mother	Target_Child	can I have some hot cocoa please	no it 's coffee	7	4	question	declarative	Morisset nan	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	30	Target_Child	Mother	I want ta have it	no not right now	5	4	declarative	declarative	Morisset Renee	positive	discourse
perception	existence	's		there		nothing	nothing	30	Target_Child	Mother	there 's nothing in it	no that 's all gone you leave that alone	5	9	declarative	declarative	Morisset Brianne	positive	discourse
perception	possession	mine						30	Target_Child	Mother	that mine	no you haf ta wait	2	5	declarative	declarative	Morisset Andrew	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	30	Target_Child	Mother	have some	no you have some Sweetie	2	5	question	declarative	Morisset Steven	positive	discourse
perception	possession	have		NONE	NONE	Mama	Mama	30	Mother	Target_Child	Mama has juice too	no I want	4	3	declarative	trail	Morisset Lisa	positive	discourse
perception	possession	mine						30	Target_Child	Mother	mine	no it 's a cookie yeah it 's yours	1	9	declarative	declarative	Morisset David	positive	discourse
perception	possession	have		do	do	you	you	30	Target_Child	Mother	do you have a birth+day cake	no I did n't have any birth+day cake	6	8	question	declarative	Morisset Desiree	positive	discourse
perception	possession	have		will	will	tortoise	tortoise	30	Mother	Target_Child	maybe the tortoise will have some grapes	no they 're yours	7	4	declarative	declarative	Tommerdahl nan	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	37	Mother	Target_Child	this one 's gon ta sit and have a cake look	no she ca n't have a cake	11	7	declarative	declarative	Tommerdahl nan	positive	discourse
perception	possession	have		shall	shall	we	we	42	Mother	Target_Child	oh shall we have some toast for breakfast	no that 's mine	8	4	declarative	declarative	Tommerdahl nan	positive	discourse
perception	possession	have		can	can	I	I	37	Mother	Target_Child	can I have vanilla	no you 've got telly	4	5	question	declarative	Tommerdahl nan	positive	discourse
perception	possession	have		shall	shall	we	we	37	Mother	Target_Child	shall we have some lunch as well	no let 's do this	7	5	question	declarative	Tommerdahl nan	positive	discourse
perception	possession	have		can	can	I	I	37	Mother	Target_Child	I know can I have an aeroplane instead	no but you can have the car	8	7	question	declarative	Tommerdahl nan	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	35	Mother	Target_Child	do you wan na play with the cars or do you wan na have a picnic	no I	16	2	declarative	declarative	Tommerdahl nan	positive	discourse
perception	possession	have		can	can	I	I	40	Mother	Target_Child	can I have some icecream	no I want pink ice cream	5	6	declarative	declarative	Tommerdahl nan	positive	discourse
perception	possession	have		do	do	you	you	40	Mother	Target_Child	do you have any food in his house	no It 's too big to fit in	8	8	question	declarative	Tommerdahl nan	positive	discourse
perception	existence	is		there		ambulance	ambulance	40	Mother	Target_Child	quick is there an ambulance	no there 's not a ambulance	5	6	declarative	declarative	Tommerdahl nan	positive	discourse
perception	possession	have	n't	do	do	they	they	37	Mother	Target_Child	cause they do n't have a bed in the dining room	no that 's a baby 's room	11	7	declarative	declarative	Tommerdahl nan	negative	discourse
perception	possession	have		can	can	we	we	37	Mother	Target_Child	we can have one each now	no not yet	6	3	declarative	declarative	Tommerdahl nan	positive	discourse
perception	possession	have	not	can	can	I	I	45	Mother	Target_Child	can I not have that one	no you can get another one	6	6	question	declarative	Tommerdahl nan	negative	discourse
perception	possession	yours						45	Mother	Target_Child	are they yours	no they 're look at	3	5	question	imperative_emphatic	Tommerdahl nan	positive	discourse
perception	possession	have		did	do	you	you	45	Mother	Target_Child	did you have dinner	no we ate dinner at my house	4	7	question	declarative	Tommerdahl nan	positive	discourse
perception	possession	have		should	should	we	we	35	Father	Target_Child	should we have another one	no I 'm thirsty	5	4	question	declarative	Tommerdahl nan	positive	discourse
perception	existence	is		there		potty	potty	31	Target_Child	Mother	in the potty but there is n't a potty	no never mind	9	3	declarative	declarative	Tommerdahl nan	positive	discourse
perception	possession	have		're	be	they	they	37	Mother	Target_Child	leave the dogs like that look they 're having a picnic out there	no let 's pick all of this up	13	8	declarative	declarative	Tommerdahl nan	positive	discourse
perception	possession	mine						16	Target_Child	Mother	mine	no this is mine	1	4	question	declarative	Higginson June	positive	discourse
perception	possession	mine						16	Target_Child	Mother	mine	no this is mine	1	4	declarative	declarative	Higginson June	positive	discourse
perception	possession	mine						16	Target_Child	Mother	mine	no s mine	1	3	declarative	declarative	Higginson June	positive	discourse
perception	possession	mine						17	Target_Child	Mother	mine	no it 's mine	1	4	declarative	declarative	Higginson June	positive	discourse
perception	possession	mine						17	Target_Child	Mother	mine	no it 's mine	1	4	declarative	declarative	Higginson June	positive	discourse
perception	possession	have		NONE	NONE	I	I	25	Target_Child	Mother	I have pop	no you can have lemonade	3	5	declarative	declarative	Higginson April	positive	discourse
perception	possession	have		NONE	NONE	I	I	25	Target_Child	Mother	I have green	no you have blue	3	4	declarative	declarative	Higginson April	positive	discourse
perception	possession	have		NONE	NONE	he	he	34	Target_Child	Mother	he has little hair	no he has big hair too	4	6	declarative	declarative	Higginson April	positive	discourse
perception	existence	's		there		horsie	horsie	35	Target_Child	Mother	there 's the horsie	no that 's the other horse	4	6	declarative	declarative	Higginson April	positive	discourse
perception	possession	have		NONE	NONE	you	you	57	Mother	Target_Child	I I brought the lunch but you did n't eat any of your breakfast like you only had the juice and vitamin pill	no I ate some of my oatmeal	23	7	declarative	declarative	Hall Von	positive	discourse
perception	possession	have		could	could	I	I	57	Target_Child	Mother	could I have just one	no no stealing okay	5	4	question	question	Hall Matthew	positive	discourse
perception	possession	have		NONE	NONE	this	this	57	Target_Child	Mother	and this has hundred pieces	no this one has sixty pieces and it 's much easier for you to do	5	15	declarative	declarative	Hall Matthew	positive	discourse
perception	possession	have		NONE	NONE	I	I	57	Target_Child	Mother	oh I have an interestinger one	no you haf ta leave them there	6	7	declarative	declarative	Hall Matthew	positive	discourse
perception	possession	have		NONE	NONE	NONE	NONE	57	Target_Child	Mother	last year I bought em now dey have another pair and somebody might take them	no they have lots of shoes at the shoe store	15	10	declarative	declarative	Hall Robert	positive	discourse
perception	possession	have		can	can	I	I	57	Target_Child	Mother	I mean hey did the doctor say I can have orange juice now	no you could n't have orange juice	13	7	question	declarative	Hall Robert	positive	discourse
perception	possession	have	n't	ca	can	I	I	57	Target_Child	Mother	because it you said jello I ca n't have	no you can have it	9	5	declarative	declarative	Hall Robert	negative	discourse
perception	possession	have	n't	do	do	I	I	57	Mother	Target_Child	that 's alright I still do n't haf ta pick them up	no that lobster was that was the lobster that was useta be alive somebody killed it	12	16	declarative	declarative	Hall Robert	negative	discourse
perception	possession	have		do	do	you	you	57	Target_Child	Mother	do you have one for that guy	no Graeme Graeme is not eating with us	7	8	question	declarative	Hall Robert	positive	discourse
perception	possession	have	n't	do	do	I	I	57	Target_Child	Mother	an and I do n't have them	no when yours fall out then you 'll be about seven	7	11	declarative	declarative	Hall Robert	negative	discourse
perception	existence	is		there		stuff	stuff	57	Target_Child	Mother	how come is there any white s stuff	no this there 's no vanilla this is n't vanilla fudge	8	11	question	declarative	Hall Robert	positive	discourse
perception	possession	have		can	can	I	I	57	Target_Child	Mother	can I have these batteries	no yeah the batteries	5	4	question	declarative	Hall Todd	positive	discourse
perception	possession	have		NONE	NONE	you	you	57	Target_Child	Mother	you haf ta	no I do n't you know	3	6	imperative_emphatic	trail	Hall Zoe	positive	discourse
perception	possession	have		can	can	I	I	57	Target_Child	Mother	can I have a lollipop	no the corn 's not finished	5	6	question	declarative	Hall Chris	positive	discourse
perception	possession	have		NONE	NONE	I	I	57	Target_Child	Mother	I have this and this are going down	no it does n't matter at all	8	7	declarative	trail	Hall David	positive	discourse
perception	existence	's		there		piece	piece	57	Target_Child	Mother	but there 's only one piece	no that 's not the paper	6	6	declarative	declarative	Hall Kip	positive	discourse
perception	possession	have		did	do	they	they	57	Mother	Target_Child	did they have their clothes on	no their coats	6	3	question	declarative	Hall Kip	positive	discourse
perception	possession	have		're	be	we	we	57	Target_Child	Mother	we 're having mommy too	no we 're not having mommy too	5	7	question	declarative	Hall Kip	positive	discourse
perception	existence	's		there		hole	hole	57	Target_Child	Mother	see there 's a little hole there	no that 's not where they live	7	7	declarative	declarative	Hall Kayode	positive	discourse
perception	possession	have		are	be	you	you	57	Target_Child	Mother	are n't you having any	no I had some last night	5	6	question	declarative	Hall Kayode	positive	discourse
perception	existence	was	no	there		skoowuhl	skoowuhl	57	Target_Child	Mother	yesterday was there was no skoowuhl	no yesterday was when you had the party	6	8	declarative	declarative	Hall Tony	negative	discourse
perception	possession	have	not	're	be	you	you	57	Mother	Target_Child	no you 're not having no party at school	no I said after	9	4	declarative	declarative	Hall Tony	negative	discourse
perception	possession	have		NONE	NONE	he	he	57	Mother	Target_Child	he has a name	no I du no I dus said	4	7	declarative	quotation	Hall Tony	positive	discourse
perception	existence	is		there		battery	battery	57	Target_Child	Father	is there a battery in the engine	no there 's a spring in there	7	7	question	declarative	Hall Tony	positive	discourse
perception	possession	have		NONE	NONE	you	you	57	Target_Child	Father	daddy you still have more pieces of	no you could pick up the rest I was just giving you a little hand there you know you do your own cleaning up in here	7	26	trail	question	Hall Tony	positive	discourse
perception	possession	have		does	do	he	he	57	Mother	Target_Child	he has a different one does n't he	no he	8	2	question	trail	Hall Tony	positive	discourse
perception	possession	have		NONE	NONE	his	he	57	Target_Child	Father	his has a little	no they bought it	4	4	declarative	trail	Hall Tony	positive	discourse
perception	possession	have		could	could	I	I	57	Target_Child	Mother	could I have some	no not till after you eat	4	6	question	declarative	Hall Derwood	positive	discourse
